app|big|mid|small|category|brand|item_name|market_price|sale_price|discount_price|date|item_specification|act
Home|家電|洗衣機|品牌旗艦館|大同|TATUNG 大同|【家電速配★TATUNG 大同】8KG金級省水直立式洗衣機(TAW-A080M)|8990|7990|5112|20221204|品牌名稱TATUNG大同類型110V定頻單槽重量6kg~10kg內槽材質不鏽鋼+塑料顏色白色產地中國大陸功能洗脫功能 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|TOSHIBA 東芝|【TOSHIBA 東芝】192公升一級能效變頻電冰箱GR-A25TS(S)|16900|12900|11900|20221204|品牌名稱TOSHIBA東芝類型雙門上下門右開變頻容量151L~200L顏色銀色效能1級能效 |12/01~12/31家電搶go潮▼限時下殺滿1件折1000|null
Home|品牌旗艦|Whirlpool惠而浦|洗衣機/乾衣機|全系列|Whirlpool 惠而浦|【Whirlpool 惠而浦】10公斤Essential Clean溫水洗脫烘變頻滾筒洗衣機(WEHC10BBS)|21100|17300|12900|20221204|品牌名稱Whirlpool惠而浦類型110V變頻單槽重量6kg~10kg內槽材質不鏽鋼+塑料顏色銀色產地其他功能洗脫烘功能 |▼獨家下殺▼滿1件折4400|null
Home|家電|洗衣機|洗衣機類型|變頻系列|Frigidaire 富及第|【Frigidaire 富及第】10kg蒸氣洗脫烘WiFi智能變頻滾筒洗衣機FAW-F1037WIDWS灰色(除菌升級)|46900|14900|11111|20221204|品牌名稱Frigidaire富及第類型110V變頻單槽重量6kg~10kg內槽材質不鏽鋼+塑料顏色灰色產地中國大陸功能洗脫烘功能溫水洗淨蒸氣功能 |null|null
Home|家電|冰箱|找款式|1級能效|Kolin 歌林|【Kolin 歌林】90公升一級能效定頻右開雙門小冰箱(KR-SE20937 拉絲銀)|8490|7490|6211|20221204|品牌名稱Kolin歌林類型雙門上下門右開定頻容量51L~100L顏色銀色效能1級能效 |null|null
Home|家電|冰箱|品牌旗艦館|全商品|SANLUX 台灣三洋|【SANLUX 台灣三洋】87公升一級能效雙門冰箱(SR-C90B1)|6990|6989|5999|20221204|品牌名稱SANLUX台灣三洋類型雙門上下門右開定頻容量51L~100L顏色黑色效能1級能效 |null|null
Home|家電|洗衣機|品牌旗艦館|富及第|Frigidaire 富及第|【Frigidaire 富及第】12KG 雙變頻好取窄身洗衣機(FAW-1227WIM)|29900|9900|8990|20221204|品牌名稱Frigidaire富及第類型110V變頻單槽重量11kg~15kg內槽材質不鏽鋼+塑料顏色灰色產地中國大陸功能洗脫功能 |12/01~12/31家電搶go潮▼限時下殺滿1件折910|null
Home|家電|冰箱|品牌旗艦館|全商品|SAMPO 聲寶|【家電速配★SAMPO 聲寶】獨家★205公升一級變頻右開雙門冰箱(SR-M20D)|15990|14490|12212|20221204|品牌名稱SAMPO聲寶類型雙門上下門右開變頻容量201L~250L顏色銀色效能1級能效 |null|null
Home|家電|冰櫃/冷凍櫃|null|本月主打|Frigidaire 富及第|【家電速配★富及第】260公升低溫無霜直立式冷凍櫃(FPFU10F3RSN)|39999|18900|16512|20221204|品牌名稱Frigidaire富及第類型單門右開冷凍櫃直立式容量251L~300L顏色銀色功能自動除霜 |null|null
null
Home|品牌旗艦|FRIGIDAIRE富及第|洗衣機/乾衣機|全系列|Frigidaire 富及第|【Frigidaire 富及第】12KG 洗脫烘 變頻滾筒洗衣機(FAW-F1204MIDN)|39999|19900|13900|20221204|品牌名稱Frigidaire富及第類型110V變頻單槽重量11kg~15kg內槽材質全不鏽鋼顏色白色產地中國大陸功能洗脫烘功能 |12/01~12/31家電搶GO↘限時特賣滿1件折6000|null
