app|big|mid|small|category|brand|item_name|market_price|sale_price|discount_price|date|item_specification|act
Home|戶外用品|戶外露營|露營寢具|睡袋|LONEPINE|【LONEPINE】加大款 全開式保暖睡袋 防水極地PRO/睡袋/冬季/保暖/露營(兩色任選)|2980|999|null|20221204|品牌名稱LONEPINE對象與族群大人孩童款式全開式重量1000g~1500g顏色灰色藍色紫色適用於1人可水洗5度~10度功能保暖材質其他 |null|null
Home|戶外用品|戶外露營|爐具用品|卡式爐|Iwatani 岩谷|【Iwatani 岩谷】戶外防風新黑武士磁式瓦斯爐-3.3kw-附外盒-搭贈燒肉不沾烤肉盤(CB-ODX-1-BK+CB-P-Y3)|4779|2312|null|20221204|品牌名稱Iwatani岩谷產地日本功能過壓保護材質鋼效能2801W~3800W |null|null
Home|戶外用品|戶外露營|露營寢具|睡袋|VENCEDOR|【VENCEDOR】信封型睡袋-1000G(露營 登山 旅行睡袋 單人睡袋 超輕睡袋 帶帽成人戶外露營睡袋-1入)|799|412|null|20221204|品牌名稱VENCEDOR對象與族群大人款式信封式重量801g~1000g顏色紅色綠色藍色適用於1人可水洗5度~10度功能保暖防潑水材質其他 |null|null
Home|戶外用品|戶外露營|戶外桌椅|折疊椅|索樂生活|【索樂生活】輕量折疊攜帶式露營休閒童軍椅凳一入(折疊童軍帆布板凳行動隨身椅休閒椅釣魚寫生沙灘椅)|128|99|null|20221204|品牌名稱索樂生活類型小型椅凳重量601g~800g適用於1人材質鋼鐵 |null|null
Home|戶外用品|戶外露營|露營寢具|睡袋|LONEPINE|【澳洲LONEPINE】加大型四季輕量超迷你睡袋(兩色任選)|1980|749|null|20221204|品牌名稱LONEPINE對象與族群大人孩童款式全開式重量601g~800g顏色綠色藍色適用於1人可水洗5度~10度功能保暖可水洗防潑水材質聚酯纖維 |null|null
Home|戶外用品|戶外露營|戶外桌椅|折疊椅|Horizon 天際線|【Horizon 天際線】免安裝輕便折疊野餐露營椅(有側手機袋/椅子收納袋)|799|499|424|20221204|品牌名稱Horizon天際線類型導演椅重量1500g~2000g適用於1人2人材質不鏽鋼鋼 |12/02~12/04年終狂歡85折滿1件享85折|null
Home|戶外用品|烤肉/野餐|品牌總覽|岩谷Iwatani|Iwatani 岩谷|【Iwatani 岩谷】日本Iwatani 岩谷達人slim磁式超薄型高效能紀念款瓦斯爐(CB-SS-50)|2980|1092|null|20221204|品牌名稱Iwatani岩谷產地日本功能便攜材質鋼效能2801W~3800W |null|null
Home|戶外用品|戶外露營|露營寢具|充氣枕|Outdoorbase|【Outdoorbase】3D舒壓自動充氣枕頭 旅行枕(TPU記憶泡棉 自動充氣枕 露營枕頭 壓縮枕)|564|431|null|20221204|品牌名稱Outdoorbase重量401g~600g功能3D透氣防汙支撐記憶護頸防潑水人體工學型圖案素面材質防水布彈性纖維其他 |null|null
Home|戶外用品|烤肉/野餐|烤肉用具|卡式爐|Iwatani 岩谷|【Iwatani 岩谷】防風磁式安全感應裝置瓦斯爐-新4.1kw-附收納殼搭贈3入瓦斯罐(CB-AH-41F+瓦斯罐X3)|3680|1999|null|20221204|品牌名稱Iwatani岩谷產地日本功能磁吸式上罐材質鋁合金鋼效能3800W以上 |null|null
Home|戶外用品|烤肉/野餐|野餐踏青|野餐桌椅| |【露營達人】黑金鋼大尺寸蛋捲桌(鋁合金露營桌/戶外桌/野餐桌/休閒桌/折合桌/折疊桌)|1980|1111|null|20221204|品牌名稱類型蛋捲桌重量6.1~9kg尺寸寬120cm-149cm適用於4人材質鋁合金金屬 |null|null
